// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:04 (4.6 sec)   *****
// Found 3 benchmarks:
//   PartitionedShutdownBenchmarks.DrainFullQueue: A_Published(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/published,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)
//   PartitionedShutdownBenchmarks.DrainFullQueue: B_Candidate(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/candidate,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)
//   PartitionedShutdownBenchmarks.DrainFullQueue: C_PublishedControl(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/published,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
WorkloadActual  125: 1 op, 104200.00 ns, 104.2000 us/op
WorkloadActual  126: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  127: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  128: 1 op, 104800.00 ns, 104.8000 us/op
WorkloadActual  129: 1 op, 105300.00 ns, 105.3000 us/op
WorkloadActual  130: 1 op, 99300.00 ns, 99.3000 us/op
WorkloadActual  131: 1 op, 97200.00 ns, 97.2000 us/op
WorkloadActual  132: 1 op, 131400.00 ns, 131.4000 us/op
WorkloadActual  133: 1 op, 97400.00 ns, 97.4000 us/op
WorkloadActual  134: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  135: 1 op, 159400.00 ns, 159.4000 us/op
WorkloadActual  136: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  137: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  138: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  139: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual  140: 1 op, 96400.00 ns, 96.4000 us/op
WorkloadActual  141: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  142: 1 op, 99000.00 ns, 99.0000 us/op
WorkloadActual  143: 1 op, 99700.00 ns, 99.7000 us/op
WorkloadActual  144: 1 op, 100800.00 ns, 100.8000 us/op
WorkloadActual  145: 1 op, 100700.00 ns, 100.7000 us/op
WorkloadActual  146: 1 op, 100200.00 ns, 100.2000 us/op
WorkloadActual  147: 1 op, 133800.00 ns, 133.8000 us/op
WorkloadActual  148: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  149: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual  150: 1 op, 103700.00 ns, 103.7000 us/op
WorkloadActual  151: 1 op, 98500.00 ns, 98.5000 us/op
WorkloadActual  152: 1 op, 91500.00 ns, 91.5000 us/op
WorkloadActual  153: 1 op, 142000.00 ns, 142.0000 us/op
WorkloadActual  154: 1 op, 97400.00 ns, 97.4000 us/op
WorkloadActual  155: 1 op, 97200.00 ns, 97.2000 us/op
WorkloadActual  156: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadActual  157: 1 op, 97600.00 ns, 97.6000 us/op
WorkloadActual  158: 1 op, 116400.00 ns, 116.4000 us/op
WorkloadActual  159: 1 op, 102200.00 ns, 102.2000 us/op
WorkloadActual  160: 1 op, 98200.00 ns, 98.2000 us/op
WorkloadActual  161: 1 op, 143700.00 ns, 143.7000 us/op
WorkloadActual  162: 1 op, 99700.00 ns, 99.7000 us/op
WorkloadActual  163: 1 op, 99500.00 ns, 99.5000 us/op
WorkloadActual  164: 1 op, 150500.00 ns, 150.5000 us/op
WorkloadActual  165: 1 op, 102200.00 ns, 102.2000 us/op
WorkloadActual  166: 1 op, 114200.00 ns, 114.2000 us/op
WorkloadActual  167: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  168: 1 op, 100700.00 ns, 100.7000 us/op
WorkloadActual  169: 1 op, 96800.00 ns, 96.8000 us/op
WorkloadActual  170: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  171: 1 op, 100400.00 ns, 100.4000 us/op
WorkloadActual  172: 1 op, 98100.00 ns, 98.1000 us/op
WorkloadActual  173: 1 op, 96500.00 ns, 96.5000 us/op
WorkloadActual  174: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  175: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  176: 1 op, 96200.00 ns, 96.2000 us/op
WorkloadActual  177: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadActual  178: 1 op, 100800.00 ns, 100.8000 us/op
WorkloadActual  179: 1 op, 97700.00 ns, 97.7000 us/op
WorkloadActual  180: 1 op, 99800.00 ns, 99.8000 us/op
WorkloadActual  181: 1 op, 110600.00 ns, 110.6000 us/op
WorkloadActual  182: 1 op, 97200.00 ns, 97.2000 us/op
WorkloadActual  183: 1 op, 97300.00 ns, 97.3000 us/op
WorkloadActual  184: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadActual  185: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadActual  186: 1 op, 99200.00 ns, 99.2000 us/op
WorkloadActual  187: 1 op, 100400.00 ns, 100.4000 us/op
WorkloadActual  188: 1 op, 96800.00 ns, 96.8000 us/op
WorkloadActual  189: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  190: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  191: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadActual  192: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  193: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadActual  194: 1 op, 99400.00 ns, 99.4000 us/op
WorkloadActual  195: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  196: 1 op, 98700.00 ns, 98.7000 us/op
WorkloadActual  197: 1 op, 97400.00 ns, 97.4000 us/op
WorkloadActual  198: 1 op, 97200.00 ns, 97.2000 us/op
WorkloadActual  199: 1 op, 97400.00 ns, 97.4000 us/op
WorkloadActual  200: 1 op, 96500.00 ns, 96.5000 us/op
WorkloadActual  201: 1 op, 152600.00 ns, 152.6000 us/op
WorkloadActual  202: 1 op, 153600.00 ns, 153.6000 us/op
WorkloadActual  203: 1 op, 97700.00 ns, 97.7000 us/op
WorkloadActual  204: 1 op, 129100.00 ns, 129.1000 us/op
WorkloadActual  205: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual  206: 1 op, 100200.00 ns, 100.2000 us/op
WorkloadActual  207: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  208: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  209: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  210: 1 op, 98900.00 ns, 98.9000 us/op
WorkloadActual  211: 1 op, 97700.00 ns, 97.7000 us/op
WorkloadActual  212: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  213: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  214: 1 op, 96600.00 ns, 96.6000 us/op
WorkloadActual  215: 1 op, 95700.00 ns, 95.7000 us/op
WorkloadActual  216: 1 op, 96200.00 ns, 96.2000 us/op
WorkloadActual  217: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  218: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  219: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  220: 1 op, 115700.00 ns, 115.7000 us/op
WorkloadActual  221: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  222: 1 op, 97600.00 ns, 97.6000 us/op
WorkloadActual  223: 1 op, 95800.00 ns, 95.8000 us/op
WorkloadActual  224: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  225: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  226: 1 op, 105300.00 ns, 105.3000 us/op
WorkloadActual  227: 1 op, 106600.00 ns, 106.6000 us/op
WorkloadActual  228: 1 op, 100700.00 ns, 100.7000 us/op
WorkloadActual  229: 1 op, 100800.00 ns, 100.8000 us/op
WorkloadActual  230: 1 op, 99200.00 ns, 99.2000 us/op
WorkloadActual  231: 1 op, 100400.00 ns, 100.4000 us/op
WorkloadActual  232: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  233: 1 op, 106500.00 ns, 106.5000 us/op
WorkloadActual  234: 1 op, 100000.00 ns, 100.0000 us/op
WorkloadActual  235: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  236: 1 op, 99000.00 ns, 99.0000 us/op
WorkloadActual  237: 1 op, 99400.00 ns, 99.4000 us/op
WorkloadActual  238: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  239: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  240: 1 op, 99000.00 ns, 99.0000 us/op
WorkloadActual  241: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  242: 1 op, 105200.00 ns, 105.2000 us/op
WorkloadActual  243: 1 op, 98000.00 ns, 98.0000 us/op
WorkloadActual  244: 1 op, 99300.00 ns, 99.3000 us/op
WorkloadActual  245: 1 op, 98900.00 ns, 98.9000 us/op
WorkloadActual  246: 1 op, 99400.00 ns, 99.4000 us/op
WorkloadActual  247: 1 op, 116500.00 ns, 116.5000 us/op
WorkloadActual  248: 1 op, 111300.00 ns, 111.3000 us/op
WorkloadActual  249: 1 op, 113700.00 ns, 113.7000 us/op
WorkloadActual  250: 1 op, 111200.00 ns, 111.2000 us/op
WorkloadActual  251: 1 op, 112400.00 ns, 112.4000 us/op
WorkloadActual  252: 1 op, 115400.00 ns, 115.4000 us/op
WorkloadActual  253: 1 op, 112200.00 ns, 112.2000 us/op
WorkloadActual  254: 1 op, 111200.00 ns, 111.2000 us/op
WorkloadActual  255: 1 op, 133400.00 ns, 133.4000 us/op
WorkloadActual  256: 1 op, 111600.00 ns, 111.6000 us/op
WorkloadActual  257: 1 op, 151500.00 ns, 151.5000 us/op
WorkloadActual  258: 1 op, 146500.00 ns, 146.5000 us/op
WorkloadActual  259: 1 op, 100200.00 ns, 100.2000 us/op
WorkloadActual  260: 1 op, 102300.00 ns, 102.3000 us/op
WorkloadActual  261: 1 op, 101900.00 ns, 101.9000 us/op
WorkloadActual  262: 1 op, 111600.00 ns, 111.6000 us/op
WorkloadActual  263: 1 op, 100400.00 ns, 100.4000 us/op
WorkloadActual  264: 1 op, 98700.00 ns, 98.7000 us/op
WorkloadActual  265: 1 op, 102400.00 ns, 102.4000 us/op
WorkloadActual  266: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  267: 1 op, 99500.00 ns, 99.5000 us/op
WorkloadActual  268: 1 op, 164900.00 ns, 164.9000 us/op
WorkloadActual  269: 1 op, 104400.00 ns, 104.4000 us/op
WorkloadActual  270: 1 op, 107000.00 ns, 107.0000 us/op
WorkloadActual  271: 1 op, 100000.00 ns, 100.0000 us/op
WorkloadActual  272: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  273: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  274: 1 op, 101500.00 ns, 101.5000 us/op
WorkloadActual  275: 1 op, 147600.00 ns, 147.6000 us/op
WorkloadActual  276: 1 op, 110400.00 ns, 110.4000 us/op
WorkloadActual  277: 1 op, 110000.00 ns, 110.0000 us/op
WorkloadActual  278: 1 op, 116900.00 ns, 116.9000 us/op
WorkloadActual  279: 1 op, 111700.00 ns, 111.7000 us/op
WorkloadActual  280: 1 op, 109400.00 ns, 109.4000 us/op
WorkloadActual  281: 1 op, 110200.00 ns, 110.2000 us/op
WorkloadActual  282: 1 op, 109100.00 ns, 109.1000 us/op
WorkloadActual  283: 1 op, 110100.00 ns, 110.1000 us/op
WorkloadActual  284: 1 op, 108600.00 ns, 108.6000 us/op
WorkloadActual  285: 1 op, 109800.00 ns, 109.8000 us/op
WorkloadActual  286: 1 op, 109500.00 ns, 109.5000 us/op
WorkloadActual  287: 1 op, 158800.00 ns, 158.8000 us/op
WorkloadActual  288: 1 op, 101600.00 ns, 101.6000 us/op
WorkloadActual  289: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  290: 1 op, 105000.00 ns, 105.0000 us/op
WorkloadActual  291: 1 op, 100700.00 ns, 100.7000 us/op
WorkloadActual  292: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  293: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  294: 1 op, 99000.00 ns, 99.0000 us/op
WorkloadActual  295: 1 op, 101800.00 ns, 101.8000 us/op
WorkloadActual  296: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  297: 1 op, 99500.00 ns, 99.5000 us/op
WorkloadActual  298: 1 op, 99300.00 ns, 99.3000 us/op
WorkloadActual  299: 1 op, 99400.00 ns, 99.4000 us/op
WorkloadActual  300: 1 op, 103900.00 ns, 103.9000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 100250.00 ns, 100.2500 us/op
WorkloadResult   2: 1 op, 115750.00 ns, 115.7500 us/op
WorkloadResult   3: 1 op, 107450.00 ns, 107.4500 us/op
WorkloadResult   4: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult   5: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult   6: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult   7: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult   8: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult   9: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  10: 1 op, 100950.00 ns, 100.9500 us/op
WorkloadResult  11: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  12: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  13: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  14: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  15: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  16: 1 op, 97750.00 ns, 97.7500 us/op
WorkloadResult  17: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  18: 1 op, 97850.00 ns, 97.8500 us/op
WorkloadResult  19: 1 op, 107050.00 ns, 107.0500 us/op
WorkloadResult  20: 1 op, 238050.00 ns, 238.0500 us/op
WorkloadResult  21: 1 op, 100750.00 ns, 100.7500 us/op
WorkloadResult  22: 1 op, 98550.00 ns, 98.5500 us/op
WorkloadResult  23: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  24: 1 op, 158150.00 ns, 158.1500 us/op
WorkloadResult  25: 1 op, 207350.00 ns, 207.3500 us/op
WorkloadResult  26: 1 op, 97150.00 ns, 97.1500 us/op
WorkloadResult  27: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult  28: 1 op, 150250.00 ns, 150.2500 us/op
WorkloadResult  29: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  30: 1 op, 99750.00 ns, 99.7500 us/op
WorkloadResult  31: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  32: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  33: 1 op, 95850.00 ns, 95.8500 us/op
WorkloadResult  34: 1 op, 97150.00 ns, 97.1500 us/op
WorkloadResult  35: 1 op, 96150.00 ns, 96.1500 us/op
WorkloadResult  36: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  37: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  38: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  39: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  40: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  41: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  42: 1 op, 96550.00 ns, 96.5500 us/op
WorkloadResult  43: 1 op, 129050.00 ns, 129.0500 us/op
WorkloadResult  44: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  45: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  46: 1 op, 96450.00 ns, 96.4500 us/op
WorkloadResult  47: 1 op, 96050.00 ns, 96.0500 us/op
WorkloadResult  48: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  49: 1 op, 103850.00 ns, 103.8500 us/op
WorkloadResult  50: 1 op, 96050.00 ns, 96.0500 us/op
WorkloadResult  51: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  52: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  53: 1 op, 97850.00 ns, 97.8500 us/op
WorkloadResult  54: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  55: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  56: 1 op, 217750.00 ns, 217.7500 us/op
WorkloadResult  57: 1 op, 99950.00 ns, 99.9500 us/op
WorkloadResult  58: 1 op, 98250.00 ns, 98.2500 us/op
WorkloadResult  59: 1 op, 108550.00 ns, 108.5500 us/op
WorkloadResult  60: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  61: 1 op, 97150.00 ns, 97.1500 us/op
WorkloadResult  62: 1 op, 96250.00 ns, 96.2500 us/op
WorkloadResult  63: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  64: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  65: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  66: 1 op, 97150.00 ns, 97.1500 us/op
WorkloadResult  67: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  68: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  69: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  70: 1 op, 95950.00 ns, 95.9500 us/op
WorkloadResult  71: 1 op, 96550.00 ns, 96.5500 us/op
WorkloadResult  72: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  73: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  74: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  75: 1 op, 96050.00 ns, 96.0500 us/op
WorkloadResult  76: 1 op, 96550.00 ns, 96.5500 us/op
WorkloadResult  77: 1 op, 95450.00 ns, 95.4500 us/op
WorkloadResult  78: 1 op, 99250.00 ns, 99.2500 us/op
WorkloadResult  79: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  80: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  81: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  82: 1 op, 94550.00 ns, 94.5500 us/op
WorkloadResult  83: 1 op, 94350.00 ns, 94.3500 us/op
WorkloadResult  84: 1 op, 94650.00 ns, 94.6500 us/op
WorkloadResult  85: 1 op, 94650.00 ns, 94.6500 us/op
WorkloadResult  86: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  87: 1 op, 105450.00 ns, 105.4500 us/op
WorkloadResult  88: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  89: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  90: 1 op, 103450.00 ns, 103.4500 us/op
WorkloadResult  91: 1 op, 105650.00 ns, 105.6500 us/op
WorkloadResult  92: 1 op, 96050.00 ns, 96.0500 us/op
WorkloadResult  93: 1 op, 155850.00 ns, 155.8500 us/op
WorkloadResult  94: 1 op, 169850.00 ns, 169.8500 us/op
WorkloadResult  95: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  96: 1 op, 97850.00 ns, 97.8500 us/op
WorkloadResult  97: 1 op, 105250.00 ns, 105.2500 us/op
WorkloadResult  98: 1 op, 95750.00 ns, 95.7500 us/op
WorkloadResult  99: 1 op, 104650.00 ns, 104.6500 us/op
WorkloadResult  100: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  101: 1 op, 96450.00 ns, 96.4500 us/op
WorkloadResult  102: 1 op, 99250.00 ns, 99.2500 us/op
WorkloadResult  103: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult  104: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  105: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  106: 1 op, 96150.00 ns, 96.1500 us/op
WorkloadResult  107: 1 op, 153050.00 ns, 153.0500 us/op
WorkloadResult  108: 1 op, 104950.00 ns, 104.9500 us/op
WorkloadResult  109: 1 op, 170750.00 ns, 170.7500 us/op
WorkloadResult  110: 1 op, 98950.00 ns, 98.9500 us/op
WorkloadResult  111: 1 op, 96450.00 ns, 96.4500 us/op
WorkloadResult  112: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  113: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  114: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  115: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  116: 1 op, 99250.00 ns, 99.2500 us/op
WorkloadResult  117: 1 op, 100250.00 ns, 100.2500 us/op
WorkloadResult  118: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  119: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  120: 1 op, 101950.00 ns, 101.9500 us/op
WorkloadResult  121: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult  122: 1 op, 97850.00 ns, 97.8500 us/op
WorkloadResult  123: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  124: 1 op, 113750.00 ns, 113.7500 us/op
WorkloadResult  125: 1 op, 104050.00 ns, 104.0500 us/op
WorkloadResult  126: 1 op, 98950.00 ns, 98.9500 us/op
WorkloadResult  127: 1 op, 100850.00 ns, 100.8500 us/op
WorkloadResult  128: 1 op, 104650.00 ns, 104.6500 us/op
WorkloadResult  129: 1 op, 105150.00 ns, 105.1500 us/op
WorkloadResult  130: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult  131: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  132: 1 op, 131250.00 ns, 131.2500 us/op
WorkloadResult  133: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  134: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  135: 1 op, 159250.00 ns, 159.2500 us/op
WorkloadResult  136: 1 op, 97750.00 ns, 97.7500 us/op
WorkloadResult  137: 1 op, 98950.00 ns, 98.9500 us/op
WorkloadResult  138: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  139: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult  140: 1 op, 96250.00 ns, 96.2500 us/op
WorkloadResult  141: 1 op, 97750.00 ns, 97.7500 us/op
WorkloadResult  142: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  143: 1 op, 99550.00 ns, 99.5500 us/op
WorkloadResult  144: 1 op, 100650.00 ns, 100.6500 us/op
WorkloadResult  145: 1 op, 100550.00 ns, 100.5500 us/op
WorkloadResult  146: 1 op, 100050.00 ns, 100.0500 us/op
WorkloadResult  147: 1 op, 133650.00 ns, 133.6500 us/op
WorkloadResult  148: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  149: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult  150: 1 op, 103550.00 ns, 103.5500 us/op
WorkloadResult  151: 1 op, 98350.00 ns, 98.3500 us/op
WorkloadResult  152: 1 op, 91350.00 ns, 91.3500 us/op
WorkloadResult  153: 1 op, 141850.00 ns, 141.8500 us/op
WorkloadResult  154: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  155: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  156: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  157: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  158: 1 op, 116250.00 ns, 116.2500 us/op
WorkloadResult  159: 1 op, 102050.00 ns, 102.0500 us/op
WorkloadResult  160: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  161: 1 op, 143550.00 ns, 143.5500 us/op
WorkloadResult  162: 1 op, 99550.00 ns, 99.5500 us/op
WorkloadResult  163: 1 op, 99350.00 ns, 99.3500 us/op
WorkloadResult  164: 1 op, 150350.00 ns, 150.3500 us/op
WorkloadResult  165: 1 op, 102050.00 ns, 102.0500 us/op
WorkloadResult  166: 1 op, 114050.00 ns, 114.0500 us/op
WorkloadResult  167: 1 op, 100850.00 ns, 100.8500 us/op
WorkloadResult  168: 1 op, 100550.00 ns, 100.5500 us/op
WorkloadResult  169: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  170: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  171: 1 op, 100250.00 ns, 100.2500 us/op
WorkloadResult  172: 1 op, 97950.00 ns, 97.9500 us/op
WorkloadResult  173: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  174: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  175: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  176: 1 op, 96050.00 ns, 96.0500 us/op
WorkloadResult  177: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  178: 1 op, 100650.00 ns, 100.6500 us/op
WorkloadResult  179: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  180: 1 op, 99650.00 ns, 99.6500 us/op
WorkloadResult  181: 1 op, 110450.00 ns, 110.4500 us/op
WorkloadResult  182: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  183: 1 op, 97150.00 ns, 97.1500 us/op
WorkloadResult  184: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  185: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  186: 1 op, 99050.00 ns, 99.0500 us/op
WorkloadResult  187: 1 op, 100250.00 ns, 100.2500 us/op
WorkloadResult  188: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  189: 1 op, 100450.00 ns, 100.4500 us/op
WorkloadResult  190: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  191: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  192: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  193: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  194: 1 op, 99250.00 ns, 99.2500 us/op
WorkloadResult  195: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  196: 1 op, 98550.00 ns, 98.5500 us/op
WorkloadResult  197: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  198: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  199: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  200: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  201: 1 op, 152450.00 ns, 152.4500 us/op
WorkloadResult  202: 1 op, 153450.00 ns, 153.4500 us/op
WorkloadResult  203: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  204: 1 op, 128950.00 ns, 128.9500 us/op
WorkloadResult  205: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult  206: 1 op, 100050.00 ns, 100.0500 us/op
WorkloadResult  207: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  208: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  209: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  210: 1 op, 98750.00 ns, 98.7500 us/op
WorkloadResult  211: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  212: 1 op, 97750.00 ns, 97.7500 us/op
WorkloadResult  213: 1 op, 96750.00 ns, 96.7500 us/op
